ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
14,002,0000,140020001359,2,14-002-0000-03,00001,2,01,14002000135901,01,1,3,13,10,2018,0501,014,221,1,,,,,,1
14,002,0000,140020001399,2,14-002-0000-03,00001,2,01,14002000139901,01,1,3,20,03,2015,0301,014,221,1,,,,,,1
14,002,0000,140020001454,2,14-002-0000-03,00001,2,01,14002000145401,01,1,1,23,06,2019,0101,014,221,1,,,,,,1
14,002,0000,140020001478,2,14-002-0000-03,00001,2,02,14002000147801,01,1,1,11,07,2017,0501,014,221,1,,,,,,1
14,002,0000,140020001478,2,14-002-0000-03,00001,2,02,14002000147802,02,1,1,10,07,2017,0501,014,221,1,,,,,,1
14,002,0000,140020001484,2,14-002-0000-03,00001,2,01,14002000148401,01,1,1,19,08,2018,0101,014,221,1,,,,,,1
14,002,0000,140020001547,2,14-002-0000-03,00001,2,01,14002000154701,01,1,3,25,06,2019,0501,014,213,2,,,,,,1
14,002,0000,140020001586,2,14-002-0000-03,00008,2,01,14002000158601,01,1,1,46,07,2019,0101,014,221,1,,,,,,1
14,002,0000,140020001615,2,14-002-0000-03,00013,1,01,14002000161501,01,1,1,46,09,2019,9999,014,221,3,12,2019,0101,1,01,1
14,003,0000,140030000016,2,14-003-0000-06,00001,4,01,14003000001601,01,1,3,40,02,2020,0101,014,221,1,,,,,,3
14,003,0000,140030000028,2,14-003-0000-06,00004,4,01,14003000002801,01,1,1,21,06,2019,0101,014,221,1,,,,,,3
14,003,0000,140030000033,2,14-003-0000-06,00004,4,01,14003000003301,01,1,1,9,04,2015,0501,014,221,1,,,,,,3
14,003,0000,140030000054,2,14-003-0000-06,00004,4,03,14003000005401,01,1,1,20,07,2015,0401,014,221,1,,,,,,3
14,003,0000,140030000097,2,14-003-0000-06,00005,4,01,14003000009701,01,1,1,39,12,2018,0101,014,221,1,,,,,,3
14,003,0000,140030000114,2,14-003-0000-06,00006,4,01,14003000011401,01,1,1,33,04,2017,0101,014,221,3,03,2019,0301,1,01,3
14,003,0000,140030000121,2,14-003-0000-06,00007,4,01,14003000012101,01,1,1,35,03,2019,0102,014,221,3,11,2019,0301,1,01,3
14,003,0000,140030000124,2,14-003-0000-06,00009,4,01,14003000012401,01,1,1,24,11,2019,0101,014,221,1,,,,,,3
14,003,0000,140030000159,2,14-003-0000-06,00011,3,02,14003000015901,01,1,1,24,03,2019,0101,014,221,3,10,2019,0301,3,,3
14,003,0000,140030000165,2,14-003-0000-06,00011,3,01,14003000016501,01,1,1,21,03,2017,0101,014,221,1,,,,,,3
14,003,0000,140030000190,2,14-003-0000-06,00012,6,01,14003000019001,01,1,1,30,02,2020,0102,014,221,1,,,,,,3
14,003,0000,140030000243,2,14-003-0000-06,00015,4,02,14003000024301,01,1,3,95,12,2015,0304,003,221,2,,,,,,3
14,003,0000,140030000274,2,14-003-0000-06,00015,4,01,14003000027401,01,1,3,21,03,2019,0101,014,221,1,,,,,,3
14,003,0000,140030000286,2,14-003-0000-06,00016,4,01,14003000028601,01,1,3,16,01,2020,0501,014,221,1,,,,,,3
14,003,0000,140030000290,2,14-003-0000-06,00017,4,01,14003000029001,01,1,1,51,03,2016,0102,014,221,1,,,,,,3
14,003,0000,140030000292,2,14-003-0000-06,00017,4,01,14003000029201,01,1,1,999,99,9999,9999,999,999,9,,,,,,3
14,003,0000,140030000308,2,14-003-0000-06,00018,4,01,14003000030801,01,1,1,39,05,2019,0102,014,221,3,12,2019,0301,1,01,3
14,003,0000,140030000368,2,14-003-0000-06,00020,3,01,14003000036801,01,1,1,28,03,2019,0102,014,221,3,12,2019,0102,1,04,3
14,003,0000,140030000376,2,14-003-0000-06,00020,3,01,14003000037601,01,1,1,999,99,9999,9999,999,999,9,,,,,,3
14,003,0000,140030000385,2,14-003-0000-06,00020,3,01,14003000038501,01,1,1,76,07,2019,0105,014,221,3,11,2019,0301,1,01,3
14,003,0000,140030000439,2,14-003-0000-06,00022,3,01,14003000043901,01,1,1,50,04,2019,0102,014,221,3,02,2020,0301,1,01,3
14,003,0000,140030000458,2,14-003-0000-06,00023,4,01,14003000045801,01,1,3,69,09,2019,0301,014,221,3,12,2019,0305,1,02,3
14,003,0000,140030000473,2,14-003-0000-06,00023,4,01,14003000047301,01,1,1,43,04,2018,0102,014,221,1,,,,,,3
14,003,0000,140030000501,2,14-003-0000-06,00025,4,01,14003000050101,01,1,1,20,03,2016,0501,014,221,1,,,,,,3
14,003,0000,140030000507,2,14-003-0000-06,00025,4,01,14003000050701,01,1,1,12,01,2019,0501,014,221,1,,,,,,3
14,003,0000,140030000583,2,14-003-0000-06,00028,4,01,14003000058301,01,1,1,999,99,9999,9999,999,999,9,,,,,,3
14,003,0000,140030000606,2,14-003-0000-06,00028,4,01,14003000060601,01,1,1,33,99,9999,9999,999,999,9,,,,,,3
14,003,0000,140030000796,2,14-003-0000-06,00037,3,01,14003000079601,01,1,3,90,04,2016,0301,014,221,1,,,,,,3
14,003,0000,140030000815,2,14-003-0000-06,00038,3,01,14003000081501,01,1,1,27,03,2020,0101,014,221,1,,,,,,3
14,003,0000,140030000823,2,14-003-0000-06,00038,3,01,14003000082301,01,1,1,28,10,2017,0101,014,221,1,,,,,,3
14,003,0000,140030000823,2,14-003-0000-06,00038,3,01,14003000082302,02,1,1,21,10,2017,0101,014,221,1,,,,,,3
14,003,0000,140030000823,2,14-003-0000-06,00038,3,01,14003000082303,03,1,1,20,10,2017,0101,014,221,1,,,,,,3
14,003,0000,140030000871,2,14-003-0000-06,00038,3,01,14003000087101,01,1,1,38,01,2018,0101,014,221,1,,,,,,3
14,003,0000,140030000917,2,14-003-0000-06,00038,3,01,14003000091701,01,1,3,22,09,2015,0101,014,221,1,,,,,,3
14,003,0000,140030000917,2,14-003-0000-06,00038,3,01,14003000091702,02,1,3,31,11,2016,0101,014,221,1,,,,,,3
14,003,0000,140030000919,2,14-003-0000-06,00038,3,01,14003000091901,01,1,1,26,12,2016,0102,014,221,1,,,,,,3
